Name,Category,Info
"Centaurs",fantasy-creature,
"Demon",fantasy-creature,
"Dragons",fantasy-creature,
"Dwarves",fantasy-creature,
"Elves",fantasy-creature,
"Evil Spirit",fantasy-creature,
"Ghost",fantasy-creature,
"Gnomes",fantasy-creature,
"King",fantasy-creature,
"Knight",fantasy-creature,
"Magician",fantasy-creature,
"Minotaur",fantasy-creature,
"Pegasus",fantasy-creature,
"Phoenix",fantasy-creature,
"Prince",fantasy-creature,
"Princess",fantasy-creature,
"Queen",fantasy-creature,
"Siren",fantasy-creature,
"Sorceress",fantasy-creature,
"Sprite",fantasy-creature,
"Trolls",fantasy-creature,
"Valkyrie",fantasy-creature,
"Vampire",fantasy-creature,
"Warlock",fantasy-creature,
"Werewolf",fantasy-creature,
"Wizard",fantasy-creature,
"Zombie",fantasy-creature,
"goblins",fantasy-creature,
"gryphons",fantasy-creature,
"ogres",fantasy-creature,
"orcs",fantasy-creature,
"phylakes",fantasy-creature,
"trolls",fantasy-creature,
"unicorns",fantasy-creature,
"witches",fantasy-creature,
"wizards",fantasy-creature,
"60s kitsch and psychedelia",gen-modifier,
"abstract illusionism",gen-modifier,
"ambrotype",gen-modifier,
"american romanticism",gen-modifier,
"anaglyph effect",gen-modifier,
"anaglyph filter",gen-modifier,
"blueprint",gen-modifier,
"brutalism",gen-modifier,
"chillwave",gen-modifier,
"cottagecore",gen-modifier,
"crayon art",gen-modifier,
"cyanotype",gen-modifier,
"dark academia",gen-modifier,
"digital art",gen-modifier,
"dutch golden age",gen-modifier,
"fractalism",gen-modifier,
"fresco",gen-modifier,
"futuresynth",gen-modifier,
"german romanticism",gen-modifier,
"glitch art",gen-modifier,
"gothic art",gen-modifier,
"graffiti",gen-modifier,
"hyperrealism",gen-modifier,
"infrared",gen-modifier,
"Lovecraftian",gen-modifier,
"magic realism",gen-modifier,
"multiple exposure",gen-modifier,
"narrative realism",gen-modifier,
"photorealism",gen-modifier,
"realism",gen-modifier,
"retrowave",gen-modifier,
"Sabattier effect",gen-modifier,
"Sabattier filter",gen-modifier,
"still life",gen-modifier,
"street art",gen-modifier,
"surrealism",gen-modifier,
"synthwave",gen-modifier,
"vaporwave",gen-modifier,
"afrofuturism",gen-modifier,
"anime",gen-modifier,
"avant-garde",gen-modifier,
"calotype",gen-modifier,
"camcorder effect",gen-modifier,
"cubism",gen-modifier,
"daguerreotype",gen-modifier,
"doge",gen-modifier,
"expressionism",gen-modifier,
"figurativism",gen-modifier,
"fisheye lens",gen-modifier,
"gothic",gen-modifier,
"holography",gen-modifier,
"impressionism",gen-modifier,
"inverted colors",gen-modifier,
"long exposure",gen-modifier,
"mac and cheese",gen-modifier,
"macro lens",gen-modifier,
"manga",gen-modifier,
"modernism",gen-modifier,
"naturalism",gen-modifier,
"optical illusion",gen-modifier,
"positivism",gen-modifier,
"stuckism",gen-modifier,
"symbolism",gen-modifier,
"telephoto lens",gen-modifier,
"the matrix",gen-modifier,
"tilt-shift",gen-modifier,
"tintype",gen-modifier,
"tonalism",gen-modifier,
"aesthetic",adj-beauty,
"esthetic",adj-beauty,
"aesthetical",adj-beauty,
"esthetical",adj-beauty,
"attractive",adj-beauty,
"beauteous",adj-beauty,
"bonny",adj-beauty,
"bonnie",adj-beauty,
"comely",adj-beauty,
"cute",adj-beauty,
"drop-dead",adj-beauty,
"fair",adj-beauty,
"fetching",adj-beauty,
"good",adj-beauty,
"good-looking",adj-beauty,
"goodly",adj-beauty,
"gorgeous",adj-beauty,
"handsome",adj-beauty,
"knockout",adj-beauty,
"likely",adj-beauty,
"lovely",adj-beauty,
"lovesome",adj-beauty,
"pretty",adj-beauty,
"ravishing",adj-beauty,
"seemly",adj-beauty,
"sightly",adj-beauty,
"stunning",adj-beauty,
"taking",adj-beauty,
"well-favored",adj-beauty,
"alluring",adj-beauty,
"appealing",adj-beauty,
"charming",adj-beauty,
"cunning",adj-beauty,
"delightful",adj-beauty,
"engaging",adj-beauty,
"fascinating",adj-beauty,
"glamorous",adj-beauty,
"glamourous",adj-beauty,
"prepossessing",adj-beauty,
"elegant",adj-beauty,
"exquisite",adj-beauty,
"glorious",adj-beauty,
"Junoesque",adj-beauty,
"magnificent",adj-beauty,
"resplendent",adj-beauty,
"splendid",adj-beauty,
"statuesque",adj-beauty,
"sublime",adj-beauty,
"superb",adj-beauty,
"flawless",adj-beauty,
"perfect",adj-beauty,
"radiant",adj-beauty,
"dainty",adj-beauty,
"delicate",adj-beauty,
"personable",adj-beauty,
"pleasant",adj-beauty,
"presentable",adj-beauty,
"chocolate-box",adj-beauty,
"prettyish",adj-beauty,
"desirable",adj-beauty,
"dishy",adj-beauty,
"dollish",adj-beauty,
"foxy",adj-beauty,
"hot",adj-beauty,
"luscious",adj-beauty,
"nubile",adj-beauty,
"pulchritudinous",adj-beauty,
"seductive",adj-beauty,
"sexy",adj-beauty,
"toothsome",adj-beauty,
"hunky",adj-beauty,
"studly",adj-beauty,
"arresting",adj-beauty,
"eye-catching",adj-beauty,
"flamboyant",adj-beauty,
"flashy",adj-beauty,
"glossy",adj-beauty,
"showstopping",adj-beauty,
"showy",adj-beauty,
"slick",adj-beauty,
"snazzy",adj-beauty,
"splashy",adj-beauty,
"striking",adj-beauty,
"zingy",adj-beauty,
"photogenic",adj-beauty,
"telegenic",adj-beauty,
"a perfect 10",noun-beauty,
"a vision",noun-beauty,
"admirer",noun-beauty,
"allure",noun-beauty,
"amazement",noun-beauty,
"angel",noun-beauty,
"appeal",noun-beauty,
"appreciation",noun-beauty,
"art",noun-beauty,
"artistry",noun-beauty,
"artwork",noun-beauty,
"awe",noun-beauty,
"beautiful creature",noun-beauty,
"beauty",noun-beauty,
"charm",noun-beauty,
"charmer",noun-beauty,
"composition",noun-beauty,
"cutie pie",noun-beauty,
"infatuation",noun-beauty,
"inner beauty",noun-beauty,
"jewel",noun-beauty,
"knockout",noun-beauty,
"longing",noun-beauty,
"look",noun-beauty,
"looker",noun-beauty,
"loveliness",noun-beauty,
"marvel",noun-beauty,
"miracle",noun-beauty,
"natural beauty",noun-beauty,
"object of desire",noun-beauty,
"objet d’art",noun-beauty,
"perfection",noun-beauty,
"purity",noun-beauty,
"rarity",noun-beauty,
"reverence",noun-beauty,
"sculpture",noun-beauty,
"dish",noun-beauty,
"doll",noun-beauty,
"dream",noun-beauty,
"dream girl",noun-beauty,
"dream guy",noun-beauty,
"dreamboat",noun-beauty,
"elegance",noun-beauty,
"enchanter",noun-beauty,
"exotic beauty",noun-beauty,
"eye candy",noun-beauty,
"eyeful",noun-beauty,
"feast for the eyes",noun-beauty,
"femininity",noun-beauty,
"fox",noun-beauty,
"glorification",noun-beauty,
"good looks",noun-beauty,
"good-looking person",noun-beauty,
"grace",noun-beauty,
"sex appeal",noun-beauty,
"sex symbol",noun-beauty,
"sight",noun-beauty,
"sophistication",noun-beauty,
"stunner",noun-beauty,
"stupor",noun-beauty,
"treasure",noun-beauty,
"uncontested beauty",noun-beauty,
"universal beauty",noun-beauty,
"visual feast",noun-beauty,
"visual poetry",noun-beauty,
"visual treat",noun-beauty,
"wonder",noun-beauty,
"wonderment",noun-beauty,
"work of art",noun-beauty,
"worshiper",noun-beauty,
"wow factor",noun-beauty,
"Alchemy",noun-fantasy,
"Apprentice",noun-fantasy,
"Archer",noun-fantasy,
"Armor",noun-fantasy,
"Battering Ram",noun-fantasy,
"Black Ice",noun-fantasy,
"Black Magic",noun-fantasy,
"Breaking Point",noun-fantasy,
"Burn Mark",noun-fantasy,
"Candlelight",noun-fantasy,
"Castle Gate",noun-fantasy,
"Castle Wall",noun-fantasy,
"Castle",noun-fantasy,
"Contempt",noun-fantasy,
"Countermeasure",noun-fantasy,
"Crossroads",noun-fantasy,
"Crypt",noun-fantasy,
"Dark Elf",noun-fantasy,
"Dark Elves",noun-fantasy,
"Defender",noun-fantasy,
"Dragon",noun-fantasy,
"Dreaming",noun-fantasy,
"Drow Elf",noun-fantasy,
"Drow Elves",noun-fantasy,
"Dungeon",noun-fantasy,
"Dwarf",noun-fantasy,
"Dwarves",noun-fantasy,
"Elf",noun-fantasy,
"Elves",noun-fantasy,
"Energy",noun-fantasy,
"Explosion",noun-fantasy,
"Fang",noun-fantasy,
"Figure",noun-fantasy,
"Folklore",noun-fantasy,
"Gems",noun-fantasy,
"Gemstones",noun-fantasy,
"Gentle Wind",noun-fantasy,
"Goblin",noun-fantasy,
"Goblins",noun-fantasy,
"Gold",noun-fantasy,
"Golum",noun-fantasy,
"Griffin",noun-fantasy,
"Ground",noun-fantasy,
"Gryphon",noun-fantasy,
"Guard",noun-fantasy,
"Guardhouse",noun-fantasy,
"Guild",noun-fantasy,
"Hippogriff",noun-fantasy,
"Hobbit",noun-fantasy,
"Hobbits",noun-fantasy,
"Imp",noun-fantasy,
"Imps",noun-fantasy,
"Interloper",noun-fantasy,
"King",noun-fantasy,
"Knight",noun-fantasy,
"Knight",noun-fantasy,
"Lich",noun-fantasy,
"Limit",noun-fantasy,
"Magic Spell",noun-fantasy,
"Magical Power",noun-fantasy,
"Magnetic North",noun-fantasy,
"Mayhem",noun-fantasy,
"Melancholy",noun-fantasy,
"Mercury",noun-fantasy,
"Monster",noun-fantasy,
"Moonbeam",noun-fantasy,
"Mystic",noun-fantasy,
"Necromancer",noun-fantasy,
"Necromancer",noun-fantasy,
"Nightmare",noun-fantasy,
"Pandemonium",noun-fantasy,
"Psychic",noun-fantasy,
"Queen",noun-fantasy,
"Radiation",noun-fantasy,
"Resistance",noun-fantasy,
"Retribution",noun-fantasy,
"Rogue",noun-fantasy,
"Royal",noun-fantasy,
"Scroll",noun-fantasy,
"Scrolls",noun-fantasy,
"Serpent",noun-fantasy,
"Shadows",noun-fantasy,
"Shard",noun-fantasy,
"Shoreline",noun-fantasy,
"Sixth Sense",noun-fantasy,
"Skeleton Warrior",noun-fantasy,
"Skeleton",noun-fantasy,
"Skeletons",noun-fantasy,
"Society",noun-fantasy,
"Sorcerer",noun-fantasy,
"Sorceress",noun-fantasy,
"Sorcery",noun-fantasy,
"Southeast",noun-fantasy,
"Spellcaster",noun-fantasy,
"Spirit World",noun-fantasy,
"Spirit",noun-fantasy,
"Squire",noun-fantasy,
"Stare Down",noun-fantasy,
"Strike Down",noun-fantasy,
"Stronghold",noun-fantasy,
"Summoner",noun-fantasy,
"Sunburst",noun-fantasy,
"Survivor",noun-fantasy,
"Sword",noun-fantasy,
"Tarot Card",noun-fantasy,
"Tavern",noun-fantasy,
"Templar",noun-fantasy,
"Third Eye",noun-fantasy,
"Throw Back",noun-fantasy,
"Thunderclap",noun-fantasy,
"Treasure",noun-fantasy,
"Turning",noun-fantasy,
"Undead",noun-fantasy,
"Undersurface",noun-fantasy,
"Underworld",noun-fantasy,
"Vampire",noun-fantasy,
"Viper",noun-fantasy,
"Warlock",noun-fantasy,
"Warrior",noun-fantasy,
"Watchman",noun-fantasy,
"Whisperer",noun-fantasy,
"Wind",noun-fantasy,
"Witch",noun-fantasy,
"Wizard",noun-fantasy,
"Wizardry",noun-fantasy,
"Wood Elf",noun-fantasy,
"Wood Elves",noun-fantasy,
"World",noun-fantasy,
"alarming",adj-horror,
"dire",adj-horror,
"direful",adj-horror,
"dread",adj-horror,
"dreadful",adj-horror,
"fearful",adj-horror,
"fearsome",adj-horror,
"forbidding",adj-horror,
"foreboding",adj-horror,
"formidable",adj-horror,
"frightening",adj-horror,
"hair-raising",adj-horror,
"horrendous",adj-horror,
"horrible",adj-horror,
"horrifying",adj-horror,
"intimidating",adj-horror,
"redoubtable",adj-horror,
"shocking",adj-horror,
"spine-chilling",adj-horror,
"terrible",adj-horror,
"terrifying",adj-horror,
"daunting",adj-horror,
"demoralizing",adj-horror,
"disconcerting",adj-horror,
"discouraging",adj-horror,
"dismaying",adj-horror,
"disquieting",adj-horror,
"distressing",adj-horror,
"disturbing",adj-horror,
"perturbing",adj-horror,
"startling",adj-horror,
"threatening",adj-horror,
"troubling",adj-horror,
"trying",adj-horror,
"unnerving",adj-horror,
"atrocious",adj-horror,
"awful",adj-horror,
"dreadful",adj-horror,
"frightful",adj-horror,
"ghastly",adj-horror,
"grisline",adj-horror,
"gruesome",adj-horror,
"hideous",adj-horror,
"horrid",adj-horror,
"monstrosity",adj-horror,
"repulsive",adj-horror,
"Happy",noun-emote,
"Afraid",noun-emote,
"Sad",noun-emote,
"Hot",noun-emote,
"Amused",noun-emote,
"Bored",noun-emote,
"Anxious",noun-emote,
"Confident",noun-emote,
"Cold",noun-emote,
"Suspicious",noun-emote,
"Surprised",noun-emote,
"Loving",noun-emote,
"Curious",noun-emote,
"Envious",noun-emote,
"Jealous",noun-emote,
"Miserable",noun-emote,
"Confused",noun-emote,
"Stupid",noun-emote,
"Angry",noun-emote,
"Sick",noun-emote,
"Ashamed",noun-emote,
"Withdrawn",noun-emote,
"Indifferent",noun-emote,
"Sorry",noun-emote,
"Determined",noun-emote,
"Crazy",noun-emote,
"Bashful",noun-emote,
"Depressed",noun-emote,
"Enraged",noun-emote,
"Frightened",noun-emote,
"Interested",noun-emote,
"Shy",noun-emote,
"Hopeful",noun-emote,
"Regretful",noun-emote,
"Scared",noun-emote,
"Stubborn",noun-emote,
"Thirsty",noun-emote,
"Guilty",noun-emote,
"Nervous",noun-emote,
"Embarrassed",noun-emote,
"Disgusted",noun-emote,
"Proud",noun-emote,
"Ecstatic",noun-emote,
"Lonely",noun-emote,
"Frustrated",noun-emote,
"Hurt",noun-emote,
"Hungry",noun-emote,
"Tired",noun-emote,
"Smug",noun-emote,
"Thoughtful",noun-emote,
"Pained",noun-emote,
"Optimistic",noun-emote,
"Relieved",noun-emote,
"Puzzled",noun-emote,
"Shocked",noun-emote,
"Joyful",noun-emote,
"Sleepy",noun-emote,
"Excited",noun-emote,
"Skeptical",noun-emote,
"Bad",noun-emote,
"Worried",noun-emote,
"apparition",noun-horror,
"enchanted",noun-horror,
"ghost",noun-horror,
"ghostly",noun-horror,
"ghoulish",noun-horror,
"goblin",noun-horror,
"haunted house",noun-horror,
"haunting",noun-horror,
"hobgoblin",noun-horror,
"levitation",noun-horror,
"medium",noun-horror,
"occult",noun-horror,
"orbs",noun-horror,
"the paranormal",noun-horror,
"paranormal activity",noun-horror,
"phantasm",noun-horror,
"phantasms",noun-horror,
"phantom",noun-horror,
"poltergeist",noun-horror,
"possessed",noun-horror,
"possession",noun-horror,
"seance",noun-horror,
"specter",noun-horror,
"spirit",noun-horror,
"unearthly",noun-horror,
"wraith",noun-horror,
"potion",noun-horror,
"tombstone",noun-horror,
"death",noun-horror,
"poltergeist",noun-horror,
"demon",noun-horror,
"crow",noun-horror,
"ghoul",noun-horror,
"ghost story",noun-horror,
"hell",noun-horror,
"graveyard",noun-horror,
"monster",noun-horror,
"full moon",noun-horror,
"mummy",noun-horror,
"devil incarnate",noun-horror,
"vampire",noun-horror,
"make-up",noun-horror,
"spider web",noun-horror,
"screams",noun-horror,
"scary story",noun-horror,
"vampire",noun-horror,
"sorceress",noun-horror,
"pumpkin",noun-horror,
"mask",noun-horror,
"headless horseman",noun-horror,
"skulls",noun-horror,
"fantasy",noun-horror,
"horror",noun-horror,
"creature",noun-horror,
"specter",noun-horror,
"moonlight",noun-horror,
"doom",noun-horror,
"nightmare",noun-horror,
"threat",noun-horror,
"eye of newt",noun-horror,
"brains",noun-horror,
"occult",noun-horror,
"worms",noun-horror,
"haunted house",noun-horror,
"goblin",noun-horror,
"witch",noun-horror,
"bonfire",noun-horror,
"fright",noun-horror,
"werewolf",noun-horror,
"noose",noun-horror,
"shadow",noun-horror,
"lightening",noun-horror,
"bogeyman",noun-horror,
"fire & brimstone",noun-horror,
"hell-hound",noun-horror,
"intestines",noun-horror,
"darkness",noun-horror,
"evil spirit",noun-horror,
"trick",noun-horror,
"superstition",noun-horror,
"grave",noun-horror,
"graves",noun-horror,
"nightfall",noun-horror,
"spider",noun-horror,
"fangs",noun-horror,
"phantom",noun-horror,
"magic",noun-horror,
"phenomena",noun-horror,
"skeleton",noun-horror,
"spirits",noun-horror,
"pillow case",noun-horror,
"werewolf",noun-horror,
"tale of horror",noun-horror,
"fog",noun-horror,
"tomb",noun-horror,
"corpse",noun-horror,
"bones",noun-horror,
"dead body",noun-horror,
"zombie",noun-horror,
"banshee",noun-horror,
"bats",noun-horror,
"blood",noun-horror,
"terror",noun-horror,
"cemetery",noun-horror,
"haunting",noun-horror,
"murder",noun-horror,
"lightning",noun-horror,
"thunder",noun-horror,
"midnight",noun-horror,
"raven",noun-horror,
"cobweb",noun-horror,
"cobwebs",noun-horror,
"owl",noun-horror,
"night of fright",noun-horror,
"Minimalist",adj-architecture,
"Eclectic architecture",adj-architecture,
"Reflective",adj-architecture,
"Congested",adj-architecture,
"Streamlined",adj-architecture,
"Opaque",adj-architecture,
"Pleasant",adj-architecture,
"Gothic architecture",adj-architecture,
"Gothic Revival architecture",adj-architecture,
"Fabric",adj-architecture,
"Structure",adj-architecture,
"Suspended",adj-architecture,
"Facade",adj-architecture,
"Monolithic",adj-architecture,
"Diminutive",adj-architecture,
"Resemble",adj-architecture,
"Revivalist",adj-architecture,
"Streamline",adj-architecture,
"Economical",adj-architecture,
"Sparse",adj-architecture,
"Luxurious",adj-architecture,
"Compact",adj-architecture,
"Pervasive",adj-architecture,
"Effusive",adj-architecture,
"Tatami",adj-architecture,
"Shoji",adj-architecture,
"Fusuma",adj-architecture,
"Engawa",adj-architecture,
"Genkan",adj-architecture,
"Byzantine architecture",adj-architecture,
"Roman architecture",adj-architecture,
"Romanesque architecture",adj-architecture,
"Islamic architecture",adj-architecture,
"Persian architecture",adj-architecture,
"Renaissance architecture",adj-architecture,
"Baroque architecture",adj-architecture,
"Churrigueresque architecture",adj-architecture,
"Churrigueresco architecture",adj-architecture,
"Rococo architecture",adj-architecture,
"Bauhaus architecture",adj-architecture,
"Art Deco",adj-architecture,
"Art Nouveau",adj-architecture,
"Brutalism architecture",adj-architecture,
"Colonial architecture",adj-architecture,
"Composite architecture",adj-architecture,
"Corinthian architecture",adj-architecture,
"Decorated style",adj-architecture,
"Doric architecture",adj-architecture,
"Early Christian architecture",adj-architecture,
"Early English architecture",adj-architecture,
"Edwardian architecture",adj-architecture,
"Empire architecture",adj-architecture,
"Federation architecture",adj-architecture,
"functionalism",adj-architecture,
"Georgian architecture",adj-architecture,
"International Style",adj-architecture,
"Modernist",adj-architecture,
"Ionic",adj-architecture,
"Jacobean architecture",adj-architecture,
"Louis Quatorze",adj-architecture,
"Louis Quinze",adj-architecture,
"Louis Seize",adj-architecture,
"Louis Treize",adj-architecture,
"Mannerism",adj-architecture,
"Moderne",adj-architecture,
"Moorish architecture",adj-architecture,
"Morisco architecture",adj-architecture,
"Mudéjar architecture",adj-architecture,
"Neoclassicial",adj-architecture,
"Palladian",adj-architecture,
"perpendicular",adj-architecture,
"postmodernism",adj-architecture,
"post-modernism",adj-architecture,
"Queen-Anne architecture",adj-architecture,
"Regency architecture",adj-architecture,
"Saracen architecture",adj-architecture,
"transition",adj-architecture,
"transitional",adj-architecture,
"Tudor architecture",adj-architecture,
"Tuscan architecture",adj-architecture,
"Victorian architecture",adj-architecture,
"Cambodian Khmer architecture",adj-architecture,
"Buddhist architecture",adj-architecture,
"New Indies architecture",adj-architecture,
"French Colonial architecture",adj-architecture,
"Spanish Colonial architecture",adj-architecture,
"Vernacular",adj-architecture,
"Neo-Tropical",adj-architecture,
"Bilateral Symmetry",adj-architecture,
"Horizontal emphasis",adj-architecture,
"Cosmological concept architecture",adj-architecture,
"Imperial architecture",adj-architecture,
"Relgious architecture",adj-architecture,
"Confucius era",adj-architecture,
"Hui Style architecture",adj-architecture,
"Shanxi architecture",adj-architecture,
"Lingnan architecture",adj-architecture,
"Cantonese architecture",adj-architecture,
"Minnan architecture",adj-architecture,
"Hokkien architecture",adj-architecture,
"Hakka architecture",adj-architecture,
"Gan architecture",adj-architecture,
"Yaodong architecture",adj-architecture,
"Tibetan architecture",adj-architecture,
"Xinjiang architecture",adj-architecture,
"Hutong architecture",adj-architecture,
"Longtang architecture",adj-architecture,
"Shikumen architecture",adj-architecture,
"Shanghainese architecture",adj-architecture,
"Meiji architecture",adj-architecture,
"Taishō architecture",adj-architecture,
"Shōwa architecture",adj-architecture,
"Heisei architecture",adj-architecture,
"Meiji period",adj-architecture,
"Taishō period",adj-architecture,
"Shōwa period",adj-architecture,
"Heisei period",adj-architecture,
"Japanese aesthetic",adj-architecture,
"Chinese aesthetic",adj-architecture,
"Korean aesthetic",adj-architecture,
"Russian aesthetic",adj-architecture,
"Eastern Roman",adj-architecture,
"Pagan Roman",adj-architecture,
"Kievan Rus architecture",adj-architecture,
"Muscovite architecture",adj-architecture,
"Imperial Russia architecture",adj-architecture,
"Soviet Union architecture",adj-architecture,
"Postwar Soviet architecture",adj-architecture,
"Modern Russian architecture",adj-architecture,
